namn,manufacturer,model,url,sitename
ASUS GeForce RTX 3070 8GB DUAL OC,ASUS GeForce,3070,https://www.inet.se/produkt/5411684/asus-geforce-rtx-3070-8gb-dual-oc,inet
MSI GeForce RTX 3070 GAMING X TRIO - 8GB GDDR6 SDRAM,MSI GeForce,3070,https://www.proshop.se/Grafikkort/MSI-GeForce-RTX-3070-GAMING-X-TRIO-8GB-GDDR6-SDRAM-Grafikkort/2876871,proshop
ASUS GeForce RTX 3070 Dual OC 8GB,ASUS GeForce,3070,https://www.webhallen.com/api/product/324223,webhallen
proshop Testobjekt som är i lager,test,test,https://www.proshop.se/Chassi-tillbehoer/DUTZO-Anti-sag-bracket-for-graphics-cards-ARGB/2861535,proshop
inet Testobjekt som är i lager,test,test,https://www.inet.se/produkt/1511037/taurus-gaming-gtx-1660-super-10400f,inet
webhall Testobjekt som är i lager,test,test,https://www.webhallen.com/api/product/322879,webhallen
ASUS GeForce RTX 3060 12GB ROG STRIX GAMING OC,ASUS GeForce,3060,https://www.inet.se/produkt/5412075/asus-geforce-rtx-3060-12gb-rog-strix-gaming-oc,inet
ASUS GeForce RTX 3060 12GB TUF GAMING OC,ASUS GeForce,3060,https://www.inet.se/produkt/5412073/asus-geforce-rtx-3060-12gb-tuf-gaming-oc,inet
ASUS GeForce RTX 3060 Ti 8GB DUAL OC,ASUS GeForce,3060,https://www.inet.se/produkt/5411881/asus-geforce-rtx-3060-ti-8gb-dual-oc,inet
ASUS GeForce RTX 3060 Ti 8GB MINI DUAL OC,ASUS GeForce,3060,https://www.inet.se/produkt/5412030/asus-geforce-rtx-3060-ti-8gb-mini-dual-oc,inet
ASUS GeForce RTX 3060 Ti 8GB TUF GAMING OC,ASUS GeForce,3060,https://www.inet.se/produkt/5411883/asus-geforce-rtx-3060-ti-8gb-tuf-gaming-oc,inet
EVGA GeForce RTX 3060 Ti 8GB XC GAMING,EVGA GeForce,3060,https://www.inet.se/produkt/5411927/evga-geforce-rtx-3060-ti-8gb-xc-gaming,inet
Gigabyte Geforce RTX 3060 Ti 8GB AORUS MASTER,Gigabyte GeForce,3060,https://www.inet.se/produkt/5411799/gigabyte-geforce-rtx-3060-ti-8gb-aorus-master,inet
